SST,COEFF1,COEFF2,COEFF3,COEFF4
7.455,0.634,0.64,0.203,0.295
7.511,0.635,0.652,0.2,0.3
7.567,0.631,0.66,0.2,0.305
7.623,0.627,0.669,0.198,0.311
7.679,0.626,0.677,0.198,0.316
7.735,0.631,0.682,0.197,0.322
7.792,0.635,0.687,0.195,0.328
7.849,0.638,0.688,0.196,0.331
7.904,0.649,0.687,0.196,0.332
7.962,0.653,0.686,0.196,0.334
8.018,0.65,0.685,0.198,0.333
8.074,0.653,0.689,0.199,0.333
8.13,0.653,0.692,0.199,0.332
8.187,0.655,0.695,0.202,0.331
8.243,0.655,0.697,0.203,0.329
8.3,0.665,0.697,0.203,0.326
8.357,0.673,0.696,0.206,0.325
8.413,0.682,0.696,0.207,0.324
8.469,0.685,0.697,0.207,0.327
8.524,0.692,0.699,0.209,0.329
8.579,0.692,0.705,0.209,0.332
8.633,0.692,0.71,0.209,0.334
8.688,0.687,0.715,0.211,0.334
8.742,0.687,0.721,0.212,0.333
8.797,0.687,0.724,0.211,0.334
8.852,0.692,0.725,0.214,0.332
8.908,0.691,0.728,0.214,0.334
8.963,0.702,0.728,0.214,0.334
9.018,0.704,0.732,0.214,0.336
9.071,0.708,0.734,0.216,0.335
9.124,0.708,0.739,0.216,0.337
9.177,0.714,0.741,0.217,0.336
9.229,0.72,0.742,0.219,0.335
9.281,0.727,0.739,0.22,0.336
9.332,0.734,0.741,0.22,0.334
9.383,0.739,0.739,0.22,0.335
9.433,0.743,0.74,0.222,0.335
9.483,0.742,0.74,0.222,0.336
9.533,0.737,0.745,0.222,0.337
9.583,0.736,0.749,0.222,0.34
9.634,0.738,0.751,0.222,0.338
9.684,0.74,0.751,0.223,0.337
9.734,0.74,0.755,0.223,0.337
9.784,0.74,0.756,0.222,0.337
9.834,0.742,0.754,0.22,0.335
9.884,0.741,0.753,0.22,0.336
9.935,0.744,0.75,0.218,0.337
9.985,0.749,0.751,0.216,0.339
10.035,0.752,0.75,0.216,0.338
10.085,0.748,0.753,0.216,0.341
10.135,0.748,0.756,0.215,0.343
10.185,0.741,0.76,0.216,0.343
10.236,0.735,0.761,0.218,0.343
10.286,0.734,0.764,0.217,0.342
10.335,0.731,0.763,0.217,0.342
10.385,0.735,0.76,0.218,0.341
10.434,0.736,0.759,0.217,0.341
10.482,0.741,0.759,0.217,0.34
10.529,0.751,0.754,0.218,0.34
10.577,0.766,0.749,0.22,0.339
10.625,0.766,0.752,0.222,0.338
10.673,0.769,0.754,0.224,0.338
10.72,0.767,0.756,0.224,0.337
10.768,0.759,0.763,0.225,0.337
10.816,0.752,0.772,0.226,0.334
10.864,0.76,0.776,0.228,0.334
