WL,AW_SB81,AW_P93,AW_PF97,BW_SB81,BBW,KW_SB81,KW_P93,KW_PF97
200.000,3.070000,,,0.1510000,0.07550000,3.145500,,
200.500,3.016000,,,0.1494000,0.07470000,3.090700,,
201.000,2.962000,,,0.1478000,0.07390000,3.035900,,
201.500,2.908000,,,0.1462000,0.07310000,2.981100,,
202.000,2.854000,,,0.1446000,0.07230000,2.926300,,
202.500,2.800000,,,0.1430000,0.07150000,2.871500,,
203.000,2.746000,,,0.1414000,0.07070000,2.816700,,
203.500,2.692000,,,0.1398000,0.06990000,2.761900,,
204.000,2.638000,,,0.1382000,0.06910000,2.707100,,
204.500,2.584000,,,0.1366000,0.06830000,2.652300,,
205.000,2.530000,,,0.1350000,0.06750000,2.597500,,
205.500,2.476000,,,0.1334000,0.06670000,2.542700,,
206.000,2.422000,,,0.1318000,0.06590000,2.487900,,
206.500,2.368000,,,0.1302000,0.06510000,2.433100,,
207.000,2.314000,,,0.1286000,0.06430000,2.378300,,
207.500,2.260000,,,0.1270000,0.06350000,2.323500,,
208.000,2.206000,,,0.1254000,0.06270000,2.268700,,
208.500,2.152000,,,0.1238000,0.06190000,2.213900,,
209.000,2.098000,,,0.1222000,0.06110000,2.159100,,
209.500,2.044000,,,0.1206000,0.06030000,2.104300,,
210.000,1.990000,,,0.1190000,0.05950000,2.049500,,
210.500,1.956000,,,0.1180250,0.05901250,2.015013,,
211.000,1.922000,,,0.1170500,0.05852500,1.980525,,
211.500,1.888000,,,0.1160750,0.05803750,1.946038,,
212.000,1.854000,,,0.1151000,0.05755000,1.911550,,
212.500,1.820000,,,0.1141250,0.05706250,1.877063,,
213.000,1.786000,,,0.1131500,0.05657500,1.842575,,
213.500,1.752000,,,0.1121750,0.05608750,1.808087,,
214.000,1.718000,,,0.1112000,0.05560000,1.773600,,
214.500,1.684000,,,0.1102250,0.05511250,1.739112,,
215.000,1.650000,,,0.1092500,0.05462500,1.704625,,
215.500,1.616000,,,0.1082750,0.05413750,1.670138,,
216.000,1.582000,,,0.1073000,0.05365000,1.635650,,
216.500,1.548000,,,0.1063250,0.05316250,1.601162,,
217.000,1.514000,,,0.1053500,0.05267500,1.566675,,
217.500,1.480000,,,0.1043750,0.05218750,1.532187,,
218.000,1.446000,,,0.1034000,0.05170000,1.497700,,
218.500,1.412000,,,0.1024250,0.05121250,1.463212,,
219.000,1.378000,,,0.1014500,0.05072500,1.428725,,
219.500,1.344000,,,0.1004750,0.05023750,1.394238,,
220.000,1.310000,,,0.09950000,0.04975000,1.359750,,
220.500,1.290850,,,0.09862500,0.04931250,1.340163,,
221.000,1.271700,,,0.09775000,0.04887500,1.320575,,
221.500,1.252550,,,0.09687500,0.04843750,1.300987,,
222.000,1.233400,,,0.09600000,0.04800000,1.281400,,
222.500,1.214250,,,0.09512500,0.04756250,1.261812,,
223.000,1.195100,,,0.09425000,0.04712500,1.242225,,
223.500,1.175950,,,0.09337500,0.04668750,1.222638,,
224.000,1.156800,,,0.09250000,0.04625000,1.203050,,
224.500,1.137650,,,0.09162500,0.04581250,1.183463,,
225.000,1.118500,,,0.09075000,0.04537500,1.163875,,
225.500,1.099350,,,0.08987500,0.04493750,1.144287,,
226.000,1.080200,,,0.08900000,0.04450000,1.124700,,
226.500,1.061050,,,0.08812500,0.04406250,1.105113,,
227.000,1.041900,,,0.08725000,0.04362500,1.085525,,
227.500,1.022750,,,0.08637500,0.04318750,1.065938,,
228.000,1.003600,,,0.08550000,0.04275000,1.046350,,
228.500,0.9844500,,,0.08462500,0.04231250,1.026762,,
229.000,0.9653000,,,0.08375000,0.04187500,1.007175,,
229.500,0.9461500,,,0.08287500,0.04143750,0.9875875,,
230.000,0.9270000,,,0.08200000,0.04100000,0.9680000,,
230.500,0.9166500,,,0.08132500,0.04066250,0.9573125,,
231.000,0.9063000,,,0.08065000,0.04032500,0.9466250,,
231.500,0.8959500,,,0.07997500,0.03998750,0.9359375,,
232.000,0.8856000,,,0.07930000,0.03965000,0.9252500,,
232.500,0.8752500,,,0.07862500,0.03931250,0.9145625,,
233.000,0.8649000,,,0.07795000,0.03897500,0.9038750,,
233.500,0.8545500,,,0.07727500,0.03863750,0.8931875,,
234.000,0.8442000,,,0.07660000,0.03830000,0.8825000,,
234.500,0.8338500,,,0.07592500,0.03796250,0.8718125,,
235.000,0.8235000,,,0.07525000,0.03762500,0.8611250,,
235.500,0.8131500,,,0.07457500,0.03728750,0.8504375,,
236.000,0.8028000,,,0.07390000,0.03695000,0.8397500,,
236.500,0.7924500,,,0.07322500,0.03661250,0.8290625,,
237.000,0.7821000,,,0.07255000,0.03627500,0.8183750,,
237.500,0.7717500,,,0.07187500,0.03593750,0.8076875,,
238.000,0.7614000,,,0.07120000,0.03560000,0.7970000,,
238.500,0.7510500,,,0.07052500,0.03526250,0.7863125,,
239.000,0.7407000,,,0.06985000,0.03492500,0.7756250,,
239.500,0.7303500,,,0.06917500,0.03458750,0.7649375,,
240.000,0.7200000,,,0.06850000,0.03425000,0.7542500,,
240.500,0.7119500,,,0.06795000,0.03397500,0.7459250,,
241.000,0.7039000,,,0.06740000,0.03370000,0.7376000,,
241.500,0.6958500,,,0.06685000,0.03342500,0.7292750,,
242.000,0.6878000,,,0.06630000,0.03315000,0.7209500,,
242.500,0.6797500,,,0.06575000,0.03287500,0.7126250,,
243.000,0.6717000,,,0.06520000,0.03260000,0.7043000,,
243.500,0.6636500,,,0.06465000,0.03232500,0.6959749,,
244.000,0.6556000,,,0.06410000,0.03205000,0.6876500,,
244.500,0.6475500,,,0.06355000,0.03177500,0.6793250,,
245.000,0.6395000,,,0.06300000,0.03150000,0.6710000,,
245.500,0.6314500,,,0.06245000,0.03122500,0.6626750,,
246.000,0.6234000,,,0.06190000,0.03095000,0.6543500,,
246.500,0.6153500,,,0.06135000,0.03067500,0.6460250,,
247.000,0.6073000,,,0.06080000,0.03040000,0.6377000,,
247.500,0.5992500,,,0.06025000,0.03012500,0.6293750,,
248.000,0.5912000,,,0.05970000,0.02985000,0.6210500,,
248.500,0.5831500,,,0.05915000,0.02957500,0.6127250,,
249.000,0.5751000,,,0.05860000,0.02930000,0.6044000,,
249.500,0.5670500,,,0.05805000,0.02902500,0.5960750,,
250.000,0.5590000,,,0.05750000,0.02875000,0.5877500,,
250.500,0.5539000,,,0.05705000,0.02852500,0.5824250,,
251.000,0.5488000,,,0.05660000,0.02830000,0.5771000,,
251.500,0.5437000,,,0.05615000,0.02807500,0.5717750,,
252.000,0.5386000,,,0.05570000,0.02785000,0.5664500,,
252.500,0.5335000,,,0.05525000,0.02762500,0.5611250,,
253.000,0.5284000,,,0.05480000,0.02740000,0.5558000,,
253.500,0.5233000,,,0.05435000,0.02717500,0.5504750,,
254.000,0.5182000,,,0.05390000,0.02695000,0.5451500,,
254.500,0.5131000,,,0.05345000,0.02672500,0.5398250,,
255.000,0.5080000,,,0.05300000,0.02650000,0.5345000,,
255.500,0.5029000,,,0.05255000,0.02627500,0.5291750,,
256.000,0.4978000,,,0.05210000,0.02605000,0.5238500,,
256.500,0.4927000,,,0.05165000,0.02582500,0.5185250,,
257.000,0.4876000,,,0.05120000,0.02560000,0.5132000,,
257.500,0.4825000,,,0.05075000,0.02537500,0.5078750,,
258.000,0.4774000,,,0.05030000,0.02515000,0.5025500,,
258.500,0.4723000,,,0.04985000,0.02492500,0.4972250,,
259.000,0.4672000,,,0.04940000,0.02470000,0.4919000,,
259.500,0.4621000,,,0.04895000,0.02447500,0.4865750,,
260.000,0.4570000,,,0.04850000,0.02425000,0.4812500,,
260.500,0.4528000,,,0.04815000,0.02407500,0.4768750,,
261.000,0.4486000,,,0.04780000,0.02390000,0.4725000,,
261.500,0.4444000,,,0.04745000,0.02372500,0.4681250,,
262.000,0.4402000,,,0.04710000,0.02355000,0.4637500,,
262.500,0.4360000,,,0.04675000,0.02337500,0.4593750,,
263.000,0.4318000,,,0.04640000,0.02320000,0.4550000,,
263.500,0.4276000,,,0.04605000,0.02302500,0.4506250,,
264.000,0.4234000,,,0.04570000,0.02285000,0.4462500,,
264.500,0.4192000,,,0.04535000,0.02267500,0.4418750,,
265.000,0.4150000,,,0.04500000,0.02250000,0.4375000,,
265.500,0.4108000,,,0.04465000,0.02232500,0.4331250,,
266.000,0.4066000,,,0.04430000,0.02215000,0.4287500,,
266.500,0.4024000,,,0.04395000,0.02197500,0.4243750,,
267.000,0.3982000,,,0.04360000,0.02180000,0.4200000,,
267.500,0.3940000,,,0.04325000,0.02162500,0.4156250,,
268.000,0.3898000,,,0.04290000,0.02145000,0.4112500,,
268.500,0.3856000,,,0.04255000,0.02127500,0.4068750,,
269.000,0.3814000,,,0.04220000,0.02110000,0.4025000,,
269.500,0.3772000,,,0.04185000,0.02092500,0.3981250,,
270.000,0.3730000,,,0.04150000,0.02075000,0.3937500,,
270.500,0.3687500,,,0.04119000,0.02059500,0.3893450,,
271.000,0.3645000,,,0.04088000,0.02044000,0.3849400,,
271.500,0.3602500,,,0.04057000,0.02028500,0.3805350,,
272.000,0.3560000,,,0.04026000,0.02013000,0.3761300,,
272.500,0.3517500,,,0.03995000,0.01997500,0.3717250,,
273.000,0.3475000,,,0.03964000,0.01982000,0.3673200,,
273.500,0.3432500,,,0.03933000,0.01966500,0.3629150,,
274.000,0.3390000,,,0.03902000,0.01951000,0.3585100,,
274.500,0.3347500,,,0.03871000,0.01935500,0.3541050,,
275.000,0.3305000,,,0.03840000,0.01920000,0.3497000,,
275.500,0.3262500,,,0.03809000,0.01904500,0.3452950,,
276.000,0.3220000,,,0.03778000,0.01889000,0.3408900,,
276.500,0.3177500,,,0.03747000,0.01873500,0.3364850,,
277.000,0.3135000,,,0.03716000,0.01858000,0.3320800,,
277.500,0.3092500,,,0.03685000,0.01842500,0.3276750,,
278.000,0.3050000,,,0.03654000,0.01827000,0.3232700,,
278.500,0.3007500,,,0.03623000,0.01811500,0.3188650,,
279.000,0.2965000,,,0.03592000,0.01796000,0.3144600,,
