sub-set	min_log[TChl_a]	max_log[TChl_a]	Diatoms	Cryptophytes	Dino_A	Dino_B	Hapto_A	Hapto_B	Prasinophytes_A	Prasinophytes_B	Chlorophytes	Cyanobacteria	Prochloro
1	-5	-0.7	1	1	1	1	1	1	1	1	1	1	1
1	-5	-0.7	0	0	0	0	0	0	0.8437	1.1130	0.0263	0	0.3552
1	-5	-0.7	0.2108	0.0797	0.2244	0.3844	0.5139	0.3569	0	0	0	0	0
1	-5	-0.7	0	0	0	0.5903	0	0	0	0	0	0	0
1	-5	-0.7	0.7552	0	0.4762	0	0.4319	0.2368	0	0	0	0	0
1	-5	-0.7	0.0626	0	0.7847	0.1683	0.0508	0.2744	0	0	0	0	0
1	-5	-0.7	0	0.3655	0	0	0	0	0	0	0	0	0
1	-5	-0.7	0	0	0	0	0	0	0.0828	0.0636	0.0239	1.1889	0.2320
1	-5	-0.7	0	0	0	0	0	0	0.0198	0.0657	0.0260	0	0
1	-5	-0.7	0	0	0	0	0	0	0.1013	0.1154	0.0266	0	0
1	-5	-0.7	0	0	0	0	0	0	0.0074	0.1180	0.0202	0	0
2	-0.7	-0.5	1	1	1	1	1	1	1	1	1	1	1
2	-0.7	-0.5	0	0	0	0	0	0	0.7173	0.5602	0.3911	0	0.5536
2	-0.7	-0.5	0.2312	0.0723	0.2136	0.4166	0.1928	0.3922	0	0	0	0	0
2	-0.7	-0.5	0	0	0	0.6195	0	0	0	0	0	0	0
2	-0.7	-0.5	0.5793	0	0.4913	0	0.2077	0.1194	0	0	0	0	0
2	-0.7	-0.5	0.0663	0	0.8545	0.2245	0.0264	0.2933	0	0	0	0	0
2	-0.7	-0.5	0	0.3289	0	0	0	0	0	0	0	0	0
2	-0.7	-0.5	0	0	0	0	0	0	0.0696	0.0476	0.0532	0.9459	0.2410
2	-0.7	-0.5	0	0	0	0	0	0	0.0186	0.0480	0.1918	0	0
2	-0.7	-0.5	0	0	0	0	0	0	0.0792	0.0895	0.0446	0	0
2	-0.7	-0.5	0	0	0	0	0	0	0.0087	0.1126	0.0392	0	0
3	-0.5	-0.3	1	1	1	1	1	1	1	1	1	1	1
3	-0.5	-0.3	0	0	0	0	0	0	0.6809	0.8977	0.2432	0	0.6461
3	-0.5	-0.3	0.2097	0.0658	0.1699	0.4565	0.3533	0.3508	0	0	0	0	0
3	-0.5	-0.3	0	0	0	0.3654	0	0	0	0	0	0	0
3	-0.5	-0.3	0.6930	0	0.5120	0	0.3150	0.1675	0	0	0	0	0
3	-0.5	-0.3	0.0558	0	0.9437	0.1807	0.0396	0.3236	0	0	0	0	0
3	-0.5	-0.3	0	0.3039	0	0	0	0	0	0	0	0	0
3	-0.5	-0.3	0	0	0	0	0	0	0.0842	0.0474	0.0410	0.8097	0.2328
3	-0.5	-0.3	0	0	0	0	0	0	0.0173	0.0675	0.1771	0	0
3	-0.5	-0.3	0	0	0	0	0	0	0.1013	0.0973	0.0453	0	0
3	-0.5	-0.3	0	0	0	0	0	0	0.0098	0.1223	0.0306	0	0
4	-0.3	-0.1	1	1	1	1	1	1	1	1	1	1	1
4	-0.3	-0.1	0	0	0	0	0	0	0.7503	0.9162	0.2858	0	0.5071
4	-0.3	-0.1	0.1770	0.0696	0.1862	0.3457	0.4411	0.3611	0	0	0	0	0
4	-0.3	-0.1	0	0	0	0.4980	0	0	0	0	0	0	0
4	-0.3	-0.1	0.5820	0	0.5473	0	0.2174	0.2657	0	0	0	0	0
4	-0.3	-0.1	0.0603	0	0.8401	0.1456	0.0348	0.2484	0	0	0	0	0
4	-0.3	-0.1	0	0.2628	0	0	0	0	0	0	0	0	0
4	-0.3	-0.1	0	0	0	0	0	0	0.0896	0.0556	0.0389	0.6017	0.2126
4	-0.3	-0.1	0	0	0	0	0	0	0.0174	0.0624	0.1466	0	0
4	-0.3	-0.1	0	0	0	0	0	0	0.0966	0.0973	0.0468	0	0
4	-0.3	-0.1	0	0	0	0	0	0	0.0089	0.1017	0.0317	0	0
5	-0.1	0.1	1	1	1	1	1	1	1	1	1	1	1
5	-0.1	0.1	0	0	0	0	0	0	0.7244	0.8759	0.2350	0	0.6052
5	-0.1	0.1	0.1852	0.0634	0.1948	0.3334	0.4957	0.3879	0	0	0	0	0
5	-0.1	0.1	0	0	0	0.7643	0	0	0	0	0	0	0
5	-0.1	0.1	0.6342	0	0.4429	0	0.2595	0.2099	0	0	0	0	0
5	-0.1	0.1	0.0561	0	0.6610	0.1726	0.0467	0.1156	0	0	0	0	0
5	-0.1	0.1	0	0.2458	0	0	0	0	0	0	0	0	0
5	-0.1	0.1	0	0	0	0	0	0	0.0642	0.0546	0.0360	0.9549	0.2337
5	-0.1	0.1	0	0	0	0	0	0	0.0165	0.0556	0.1690	0	0
5	-0.1	0.1	0	0	0	0	0	0	0.0916	0.0881	0.0388	0	0
5	-0.1	0.1	0	0	0	0	0	0	0.0085	0.1209	0.0285	0	0
6	0.1	0.3	1	1	1	1	1	1	1	1	1	1	1
6	0.1	0.3	0	0	0	0	0	0	0.7738	0.8782	0.2165	0	0.5547
6	0.1	0.3	0.1606	0.0837	0.2351	0.3021	0.8328	0.3498	0	0	0	0	0
6	0.1	0.3	0	0	0	0.7737	0	0	0	0	0	0	0
6	0.1	0.3	0.6178	0	0.4779	0	0.4125	0.2336	0	0	0	0	0
6	0.1	0.3	0.0510	0	0.8808	0.1378	0.0527	0.0950	0	0	0	0	0
6	0.1	0.3	0	0.2115	0	0	0	0	0	0	0	0	0
6	0.1	0.3	0	0	0	0	0	0	0.0750	0.0447	0.0277	0.7079	0.2310
6	0.1	0.3	0	0	0	0	0	0	0.0178	0.0435	0.1057	0	0
6	0.1	0.3	0	0	0	0	0	0	0.0900	0.0913	0.0295	0	0
6	0.1	0.3	0	0	0	0	0	0	0.0086	0.1044	0.0259	0	0
7	0.3	0.5	1	1	1	1	1	1	1	1	1	1	1
7	0.3	0.5	0	0	0	0	0	0	0.6680	0.7792	0.2347	0	0.5923
7	0.3	0.5	0.1696	0.0904	0.1729	0.3003	0.6823	0.4305	0	0	0	0	0
7	0.3	0.5	0	0	0	0.8031	0	0	0	0	0	0	0
7	0.3	0.5	0.5458	0	0.3969	0	0.6388	0.2548	0	0	0	0	0
7	0.3	0.5	0.0438	0	0.8260	0.1340	0.0621	0.2509	0	0	0	0	0
7	0.3	0.5	0	0.2366	0	0	0	0	0	0	0	0	0
7	0.3	0.5	0	0	0	0	0	0	0.0659	0.0527	0.0293	0.7114	0.2354
7	0.3	0.5	0	0	0	0	0	0	0.0168	0.0511	0.0519	0	0
7	0.3	0.5	0	0	0	0	0	0	0.0718	0.0936	0.0289	0	0
7	0.3	0.5	0	0	0	0	0	0	0.0076	0.0972	0.0269	0	0
8	0.5	0.7	1	1	1	1	1	1	1	1	1	1	1
8	0.5	0.7	0	0	0	0	0	0	0.7411	0.7644	0.2374	0	0.6029
8	0.5	0.7	0.1576	0.0918	0.1826	0.2655	1.0504	0.3989	0	0	0	0	0
8	0.5	0.7	0	0	0	0.7556	0	0	0	0	0	0	0
8	0.5	0.7	0.5122	0	0.4009	0	0.5077	0.2220	0	0	0	0	0
8	0.5	0.7	0.0379	0	0.8294	0.1188	0.0633	0.1146	0	0	0	0	0
8	0.5	0.7	0	0.2572	0	0	0	0	0	0	0	0	0
8	0.5	0.7	0	0	0	0	0	0	0.0692	0.0454	0.0282	0.6473	0.1941
8	0.5	0.7	0	0	0	0	0	0	0.0140	0.0534	0.1165	0	0
8	0.5	0.7	0	0	0	0	0	0	0.0747	0.0811	0.0320	0	0
8	0.5	0.7	0	0	0	0	0	0	0.0083	0.0945	0.0250	0	0
9	0.7	0.9	1	1	1	1	1	1	1	1	1	1	1
9	0.7	0.9	0	0	0	0	0	0	0.8318	0.8019	0.1475	0	0.6283
9	0.7	0.9	0.1603	0.0691	0.2056	0.3022	0.6087	0.4735	0	0	0	0	0
9	0.7	0.9	0	0	0	0.7063	0	0	0	0	0	0	0
9	0.7	0.9	0.5176	0	0.5969	0	0.3062	0.2654	0	0	0	0	0
9	0.7	0.9	0.0347	0	0.9267	0.1776	0.0401	0.3018	0	0	0	0	0
9	0.7	0.9	0	0.3008	0	0	0	0	0	0	0	0	0
9	0.7	0.9	0	0	0	0	0	0	0.0839	0.0467	0.0242	0.6056	0.2644
9	0.7	0.9	0	0	0	0	0	0	0.0176	0.0491	0.0181	0	0
9	0.7	0.9	0	0	0	0	0	0	0.0876	0.0837	0.0249	0	0
9	0.7	0.9	0	0	0	0	0	0	0.0078	0.1033	0.0217	0	0
10	0.9	1.1	1	1	1	1	1	1	1	1	1	1	1
10	0.9	1.1	0	0	0	0	0	0	0.9292	0.8432	0.1097	0	0.6819
10	0.9	1.1	0.1483	0.0738	0.1270	0.2847	0.8304	0.4412	0	0	0	0	0
10	0.9	1.1	0	0	0	0.7034	0	0	0	0	0	0	0
10	0.9	1.1	0.5106	0	0.5244	0	0.3343	0.2926	0	0	0	0	0
10	0.9	1.1	0.0342	0	0.8351	0.1716	0.0473	0.3269	0	0	0	0	0
10	0.9	1.1	0	0.2765	0	0	0	0	0	0	0	0	0
10	0.9	1.1	0	0	0	0	0	0	0.0967	0.0517	0.0223	0.8287	0.2507
10	0.9	1.1	0	0	0	0	0	0	0.0185	0.0602	0.0099	0	0
10	0.9	1.1	0	0	0	0	0	0	0.1134	0.0826	0.0213	0	0
